,timestamp,open,high,low,close,volume
51,2022-06-01,4.089,4.096,4.06,4.083,377434510
52,2022-05-31,4.025,4.103,4.016,4.089,452258120
53,2022-05-30,4.02,4.043,4.007,4.025,450531920
54,2022-05-27,4.022,4.057,3.985,4.002,553297210
55,2022-05-26,3.983,4.02,3.932,3.992,481614070
56,2022-05-25,3.96,3.984,3.948,3.982,457684100
57,2022-05-24,4.046,4.049,3.96,3.965,415664500
58,2022-05-23,4.079,4.079,4.021,4.047,512091270
59,2022-05-20,4.02,4.08,4.01,4.079,600461420
60,2022-05-19,3.947,3.997,3.936,3.995,324962040
61,2022-05-18,4.007,4.017,3.96,3.986,264017320
62,2022-05-17,3.96,4.001,3.949,4.0,300849560
63,2022-05-16,4.0,4.014,3.94,3.951,442584340
64,2022-05-13,3.988,3.999,3.952,3.982,279973250
65,2022-05-12,3.955,3.979,3.933,3.951,307105780
66,2022-05-11,3.909,4.026,3.909,3.971,629011560
67,2022-05-10,3.833,3.933,3.808,3.916,547467160
68,2022-05-09,3.878,3.906,3.85,3.871,318700630
69,2022-05-06,3.925,3.943,3.9,3.903,520669720
70,2022-05-05,3.98,4.031,3.97,4.0,736095390
71,2022-05-04,4.015,4.015,4.015,4.015,0
72,2022-05-03,4.015,4.015,4.015,4.015,0
73,2022-04-29,3.929,4.019,3.893,4.015,763121190
74,2022-04-28,3.872,3.935,3.869,3.915,1072926130
75,2022-04-27,3.771,3.891,3.76,3.889,1372583860
76,2022-04-26,3.816,3.873,3.774,3.783,1543759740
77,2022-04-25,3.945,3.959,3.807,3.813,1654284340
78,2022-04-22,3.965,4.037,3.952,4.006,617378400
79,2022-04-21,4.052,4.081,3.975,3.996,792508460
80,2022-04-20,4.132,4.138,4.058,4.064,390343440
81,2022-04-19,4.16,4.186,4.11,4.134,313996240
82,2022-04-18,4.145,4.164,4.117,4.161,279709270
83,2022-04-15,4.16,4.206,4.15,4.181,532237970
84,2022-04-14,4.176,4.212,4.153,4.183,573689240
85,2022-04-13,4.151,4.187,4.135,4.139,387260210
86,2022-04-12,4.103,4.176,4.076,4.171,806475900
87,2022-04-11,4.205,4.206,4.088,4.101,580058500
88,2022-04-08,4.208,4.236,4.175,4.233,320271300
89,2022-04-07,4.237,4.268,4.202,4.205,278398350
90,2022-04-06,4.243,4.269,4.228,4.257,339893770
91,2022-04-05,4.269,4.269,4.269,4.269,0
92,2022-04-04,4.269,4.269,4.269,4.269,0
93,2022-04-01,4.187,4.289,4.185,4.269,375247240
94,2022-03-31,4.239,4.244,4.21,4.218,424279000
95,2022-03-30,4.154,4.252,4.154,4.249,500257530
96,2022-03-29,4.155,4.173,4.119,4.126,231033120
97,2022-03-28,4.134,4.174,4.083,4.144,415593850
98,2022-03-25,4.245,4.254,4.167,4.169,356808310
99,2022-03-24,4.25,4.27,4.213,4.246,220641760
