,timestamp,open,high,low,close,volume
0,2022-08-12,7.37,7.4,7.353,7.363,85272200
1,2022-08-11,7.265,7.379,7.253,7.376,117069560
2,2022-08-10,7.239,7.273,7.2,7.233,69019150
3,2022-08-09,7.23,7.252,7.187,7.247,90389300
4,2022-08-08,7.169,7.231,7.163,7.226,92279990
5,2022-08-05,7.047,7.19,7.047,7.186,93240620
6,2022-08-04,7.055,7.065,6.948,7.04,153476160
7,2022-08-03,7.077,7.172,6.99,7.016,138384800
8,2022-08-02,7.202,7.21,6.969,7.075,210200900
9,2022-08-01,7.183,7.26,7.142,7.256,79391960
10,2022-07-29,7.267,7.283,7.181,7.194,112199940
11,2022-07-28,7.259,7.322,7.237,7.252,119057610
12,2022-07-27,7.19,7.254,7.175,7.233,74282180
13,2022-07-26,7.116,7.231,7.106,7.202,116420450
14,2022-07-25,7.18,7.216,7.09,7.116,141984370
15,2022-07-22,7.254,7.289,7.12,7.187,194260290
16,2022-07-21,7.316,7.325,7.248,7.252,95834510
17,2022-07-20,7.265,7.342,7.256,7.323,121566540
18,2022-07-19,7.205,7.249,7.172,7.231,139144400
19,2022-07-18,7.08,7.225,7.08,7.205,138989740
20,2022-07-15,7.168,7.227,7.068,7.074,117333600
21,2022-07-14,7.135,7.234,7.127,7.195,193238400
22,2022-07-13,7.121,7.169,7.089,7.145,185449140
23,2022-07-12,7.198,7.242,7.11,7.119,103262100
24,2022-07-11,7.269,7.281,7.16,7.206,111865320
25,2022-07-08,7.375,7.392,7.299,7.303,112755360
26,2022-07-07,7.305,7.39,7.277,7.346,163335930
27,2022-07-06,7.384,7.403,7.248,7.316,134447640
28,2022-07-05,7.434,7.458,7.321,7.412,224073210
29,2022-07-04,7.33,7.426,7.281,7.422,268820700
30,2022-07-01,7.331,7.384,7.315,7.333,132341880
31,2022-06-30,7.28,7.394,7.275,7.346,206120390
32,2022-06-29,7.388,7.407,7.258,7.289,180542220
33,2022-06-28,7.282,7.42,7.27,7.406,129836850
34,2022-06-27,7.265,7.345,7.265,7.283,199758620
35,2022-06-24,7.18,7.268,7.165,7.253,178911260
36,2022-06-23,7.015,7.177,6.989,7.17,198157300
37,2022-06-22,7.12,7.143,7.007,7.015,196617330
38,2022-06-21,7.171,7.197,7.068,7.126,149412920
39,2022-06-20,7.178,7.227,7.114,7.178,178692160
40,2022-06-17,7.079,7.195,7.007,7.178,228953940
41,2022-06-16,7.115,7.195,7.09,7.11,202253320
42,2022-06-15,7.125,7.27,7.09,7.099,214759660
43,2022-06-14,7.002,7.135,6.87,7.129,258285900
44,2022-06-13,7.039,7.085,6.987,7.057,170215800
45,2022-06-10,6.908,7.089,6.908,7.078,218145620
46,2022-06-09,7.02,7.04,6.882,6.951,150809020
47,2022-06-08,6.988,7.055,6.919,7.036,169830800
48,2022-06-07,6.989,7.009,6.95,6.987,159219940
49,2022-06-06,6.864,7.017,6.864,6.991,242250400
50,2022-06-02,6.788,6.892,6.762,6.882,150736520
51,2022-06-01,6.795,6.828,6.736,6.8,141565730
52,2022-05-31,6.691,6.825,6.655,6.807,254174110
53,2022-05-30,6.68,6.704,6.615,6.702,95052780
